"","parmse","parsd","errmean","errsd","tmean","Method","k"
"1",94.4857475302601,140.039508040721,0.239660226424614,0.00559459414042486,0.333153,"OSMAC",500
"2",39.4063895846034,60.8376550256837,0.235721058330092,0.00389394406192896,0.0983169999999984,"OSMAC",1000
"3",28.7148848365488,54.3994820939714,0.234056490523594,0.00308835743298728,0.128380000000001,"OSMAC",1500
"4",23.9208641837626,48.7106266049007,0.233223470792907,0.00278631352281948,0.0992570000000014,"OSMAC",2000
"5",18.6934549849864,41.4335015757028,0.232549505418843,0.00240382877119844,0.0993479999999983,"OSMAC",2500
"6",18.4490078167931,44.3603046302223,0.232231018280056,0.00216683749288248,0.101907000000001,"OSMAC",3000
"7",12.4969904047502,26.1266373509392,0.23175455950216,0.00203968733225872,0.120050999999999,"OSMAC",4000
"8",48.1769704330821,92.331537302053,0.236130703976622,0.00364618700983722,0.165658000000003,"MORE",500
"9",25.7243030339798,58.1694677023233,0.233674554036014,0.00252017491543053,0.169631999999999,"MORE",1000
"10",16.3483900685958,26.662691502479,0.232916515121254,0.00217384549759485,0.183711999999997,"MORE",1500
"11",13.5718442743198,23.5156922838991,0.232588693485825,0.00193312872372276,0.171989000000003,"MORE",2000
"12",11.516432380949,19.2276877546337,0.232397147091905,0.00190918339574503,0.173458,"MORE",2500
"13",10.4974151861302,17.0967870137851,0.232188277217731,0.00186448446923113,0.185862999999999,"MORE",3000
"14",9.02814346417798,14.1846741652938,0.232065803996594,0.00176215804912696,0.177509000000002,"MORE",4000
"15",91.1051714577854,176.983551165705,0.250927836351978,0.00757851799410869,2.003201,"IBOSS",500
"16",53.2657460853345,100.299594980651,0.254838244105497,0.00688331823378391,1.948119,"IBOSS",1000
"17",39.3750447448012,67.8720793898916,0.25491314082686,0.00637369928357729,1.943338,"IBOSS",1500
"18",31.4380236129618,46.0162123599454,0.253328715140175,0.00588146923761839,1.951482,"IBOSS",2000
"19",26.8470018572419,48.7875744245829,0.252017607299408,0.00567730837004814,1.940498,"IBOSS",2500
"20",22.0204726466075,34.0699098846623,0.250790604534799,0.00502138914405318,1.950547,"IBOSS",3000
"21",19.7592685004822,34.8749752356806,0.249440897289001,0.00430066953775964,1.95475,"IBOSS",4000
"22",237.421446140052,498.949778665215,0.237646455939704,0.00481296368891349,0.0106310000000008,"LEV",500
"23",104.093445104443,185.197842566023,0.233340677591952,0.00282207739224828,0.0289130000000003,"LEV",1000
"24",64.8050656960728,122.077198352635,0.232057730918418,0.0023016926965229,0.0594109999999989,"LEV",1500
"25",43.8709323916381,70.7871138424512,0.231394498113128,0.00195040524599199,0.108221999999999,"LEV",2000
"26",35.1906246598997,66.7524406494763,0.230857354595242,0.00177434241322992,0.173852000000002,"LEV",2500
"27",29.7176426587675,57.3056313889966,0.230762580021234,0.0017212491473455,0.252425999999997,"LEV",3000
"28",23.4246206528884,38.9945896752854,0.230489314734419,0.00160790626952318,0.542537000000001,"LEV",4000
"29",153.301775761883,259.620599348987,0.237335442705322,0.00450962594473653,0.0093210000000013,"DKDO",500
"30",65.248831543972,111.496889849519,0.23328324100451,0.00282475808985029,0.0134579999999997,"DKDO",1000
"31",39.3106387751593,60.3992276221857,0.231926606468974,0.00227561701903497,0.0185809999999997,"DKDO",1500
"32",31.7624786897526,52.7231015841841,0.231507920656779,0.00207636626637658,0.0240360000000009,"DKDO",2000
"33",24.8952515352087,38.6759874448783,0.231165981646361,0.00194107141503105,0.0394999999999965,"DKDO",2500
"34",21.7687835677008,33.9674518540788,0.230839495012141,0.0018343325891003,0.0339200000000055,"DKDO",3000
"35",18.127612474645,28.6942673649499,0.2306273664736,0.00163202109369939,0.0431019999999973,"DKDO",4000
"36",0.0318678566891897,0.044613285624125,0.230152547539708,0.00119577843627451,0.459807,"FULL",500
"37",0.0318678566891897,0.044613285624125,0.230152547539708,0.00119577843627451,0.459807,"FULL",1000
"38",0.0318678566891897,0.044613285624125,0.230152547539708,0.00119577843627451,0.459807,"FULL",1500
"39",0.0318678566891897,0.044613285624125,0.230152547539708,0.00119577843627451,0.459807,"FULL",2000
"40",0.0318678566891897,0.044613285624125,0.230152547539708,0.00119577843627451,0.459807,"FULL",2500
"41",0.0318678566891897,0.044613285624125,0.230152547539708,0.00119577843627451,0.459807,"FULL",3000
"42",0.0318678566891897,0.044613285624125,0.230152547539708,0.00119577843627451,0.459807,"FULL",4000
